Algorithm,Queens_Size,Time,States,Optimal_solution
simulated_annealing,8,0.01802992820739746,933,1
genetic_algorithm,8,0.815556526184082,128,1
hill_climbing,10,0.009853601455688477,5,False
simulated_annealing,10,0.06234407424926758,2501,False
genetic_algorithm,10,0.6892843246459961,60,1
hill_climbing,12,0.031896114349365234,8,False
simulated_annealing,12,0.14457321166992188,4321,False
genetic_algorithm,12,11.219660997390747,447,1
hill_climbing,15,0.06584310531616211,7,False
simulated_annealing,15,0.4062538146972656,8438,False
genetic_algorithm,15,2.847774028778076,60,1
hill_climbing,4,0.0001785755157470703,4,1
simulated_annealing,4,0.0015103816986083984,161,False
genetic_algorithm,4,0.0008876323699951172,2,1
hill_climbing,8,0.0023865699768066406,3,False
simulated_annealing,8,0.026345252990722656,1281,False
genetic_algorithm,8,0.22276782989501953,38,1
hill_climbing,10,0.00568079948425293,3,False
simulated_annealing,10,0.06346654891967773,2501,False
genetic_algorithm,10,5.2767157554626465,383,1
hill_climbing,12,0.0196380615234375,5,False
simulated_annealing,12,0.14352726936340332,4321,False
genetic_algorithm,12,2.0708673000335693,97,1
hill_climbing,15,0.07497644424438477,8,False
simulated_annealing,15,0.40561795234680176,8438,False
genetic_algorithm,15,3.3317770957946777,71,1
hill_climbing,4,0.00013327598571777344,3,1
simulated_annealing,4,0.00014901161193847656,16,1
genetic_algorithm,4,0.00791621208190918,11,1
hill_climbing,8,0.002447366714477539,3,False
simulated_annealing,8,0.02408576011657715,1281,False
genetic_algorithm,8,1.9917471408843994,299,1
hill_climbing,10,0.011354207992553711,6,False
simulated_annealing,10,0.06397557258605957,2501,False
genetic_algorithm,10,1.5880389213562012,117,1
hill_climbing,12,0.0157470703125,4,False
simulated_annealing,12,0.14246487617492676,4321,False
genetic_algorithm,12,2.479849100112915,106,1
hill_climbing,15,0.06490182876586914,7,False
simulated_annealing,15,0.4023168087005615,8438,False
genetic_algorithm,15,33.87927842140198,622,1
hill_climbing,4,0.00021529197692871094,5,1
simulated_annealing,4,0.00040078163146972656,34,1
genetic_algorithm,4,0.025461673736572266,26,1
hill_climbing,8,0.003067493438720703,4,False
simulated_annealing,8,0.02397441864013672,1281,False
genetic_algorithm,8,0.28934574127197266,50,1
hill_climbing,10,0.009680032730102539,5,False
simulated_annealing,10,0.06287193298339844,2501,False
genetic_algorithm,10,5.329944133758545,361,1
hill_climbing,12,0.0230560302734375,6,False
simulated_annealing,12,0.10437655448913574,3175,1
genetic_algorithm,12,0.7732236385345459,41,1
hill_climbing,15,0.08288002014160156,9,False
simulated_annealing,15,0.4050920009613037,8438,False
genetic_algorithm,15,7.809462308883667,152,1
hill_climbing,4,7.724761962890625e-05,1,False
simulated_annealing,4,0.0011909008026123047,130,1
genetic_algorithm,4,0.030046701431274414,35,1
hill_climbing,8,0.003804922103881836,5,False
simulated_annealing,8,0.02446770668029785,1281,False
genetic_algorithm,8,1.1769723892211914,180,1
hill_climbing,10,0.009643316268920898,6,1
simulated_annealing,10,0.06280922889709473,2501,False
genetic_algorithm,10,0.4988424777984619,43,1
hill_climbing,12,0.022984743118286133,6,False
simulated_annealing,12,0.1419544219970703,4321,False
genetic_algorithm,12,5.717099905014038,225,1
hill_climbing,15,0.07510566711425781,8,False
simulated_annealing,15,0.40305566787719727,8438,False
genetic_algorithm,15,15.787757158279419,294,1
hill_climbing,4,0.00012731552124023438,3,1
simulated_annealing,4,6.079673767089844e-05,6,1
genetic_algorithm,4,0.0014450550079345703,3,1
hill_climbing,8,0.0031707286834716797,4,False
simulated_annealing,8,0.024801969528198242,1281,False
genetic_algorithm,8,0.26149559020996094,45,1
hill_climbing,10,0.007826566696166992,4,False
simulated_annealing,10,0.06295251846313477,2501,False
genetic_algorithm,10,5.87593412399292,424,1
hill_climbing,12,0.02350330352783203,6,False
simulated_annealing,12,0.1452498435974121,4321,False
genetic_algorithm,12,11.790888786315918,459,1
hill_climbing,15,0.07529306411743164,8,False
simulated_annealing,15,0.3994905948638916,8438,False
genetic_algorithm,15,20.739931344985962,378,1
