Algorithm,Queens_Size,Time,States
backtracking,15,0.024933576583862305,20280
forward checking,15,0.0718076229095459,1359
backtracking,4,0.0,26
forward checking,4,0.0,8
backtracking,8,0.000997304916381836,876
forward checking,8,0.003989458084106445,113
backtracking,10,0.000997304916381836,975
forward checking,10,0.003989219665527344,102
backtracking,12,0.0030214786529541016,3066
forward checking,12,0.01196742057800293,261
backtracking,15,0.024931907653808594,20280
forward checking,15,0.07178044319152832,1359
backtracking,4,0.0,26
forward checking,4,0.0,8
backtracking,8,0.0009970664978027344,876
forward checking,8,0.0029921531677246094,113
backtracking,10,0.000997304916381836,975
forward checking,10,0.003989219665527344,102
backtracking,12,0.002991914749145508,3066
forward checking,12,0.012965679168701172,261
backtracking,15,0.023935317993164062,20280
forward checking,15,0.07081055641174316,1359
backtracking,4,0.0,26
forward checking,4,0.0009975433349609375,8
backtracking,8,0.0,876
forward checking,8,0.003989458084106445,113
backtracking,10,0.0009975433349609375,975
forward checking,10,0.0040166378021240234,102
backtracking,12,0.003989219665527344,3066
forward checking,12,0.011940479278564453,261
backtracking,15,0.023963451385498047,20280
forward checking,15,0.07178020477294922,1359
backtracking,4,0.0,26
forward checking,4,0.0,8
backtracking,8,0.000997304916381836,876
forward checking,8,0.003989458084106445,113
backtracking,10,0.000997304916381836,975
forward checking,10,0.003989219665527344,102
backtracking,12,0.002991914749145508,3066
forward checking,12,0.012977838516235352,261
backtracking,15,0.023950815200805664,20280
forward checking,15,0.07436656951904297,1359
backtracking,4,0.0,26
forward checking,4,0.0,8
backtracking,8,0.0009975433349609375,876
forward checking,8,0.003988742828369141,113
backtracking,10,0.0009984970092773438,975
forward checking,10,0.003988504409790039,102
backtracking,12,0.0029942989349365234,3066
forward checking,12,0.012960672378540039,261
backtracking,15,0.024907588958740234,20280
forward checking,15,0.07386398315429688,1359
backtracking,4,0.0,26
forward checking,4,0.0,8
backtracking,8,0.0009942054748535156,876
forward checking,8,0.002991199493408203,113
backtracking,10,0.0009706020355224609,975
forward checking,10,0.005015850067138672,102
backtracking,12,0.0029900074005126953,3066
forward checking,12,0.012936830520629883,261
backtracking,15,0.0249636173248291,20280
forward checking,15,0.07183694839477539,1359
